Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
12.11.2021,"64.156,0","64.801,0","65.412,0","62.310,0","5,12K","-1,00%"
11.11.2021,"64.801,0","64.954,0","65.541,0","64.089,0","2,86K","-0,24%"
10.11.2021,"64.954,0","66.935,0","68.925,0","63.123,0","12,23K","-2,96%"
09.11.2021,"66.935,0","67.526,0","68.429,0","66.343,0","6,46K","-0,88%"
08.11.2021,"67.526,0","63.259,1","67.665,0","63.259,1","8,98K","6,75%"
07.11.2021,"63.259,1","61.495,0","63.279,0","61.400,0","3,23K","2,87%"
06.11.2021,"61.496,0","61.016,4","61.583,0","60.100,0","2,93K","0,79%"
05.11.2021,"61.016,4","61.422,8","62.598,0","60.746,3","2,26K","-0,66%"
04.11.2021,"61.422,8","62.904,0","63.060,2","60.733,0","2,93K","-2,35%"
03.11.2021,"62.904,0","63.249,0","63.556,0","60.624,0","4,76K","-0,55%"
02.11.2021,"63.249,0","60.927,0","64.263,4","60.661,0","5,20K","3,81%"
01.11.2021,"60.927,0","61.330,0","62.485,0","59.595,6","4,81K","-0,66%"
31.10.2021,"61.330,0","61.838,8","62.414,0","60.021,0","2,42K","-0,82%"
30.10.2021,"61.838,8","62.235,0","62.353,0","60.756,0","2,24K","-0,64%"
29.10.2021,"62.235,0","60.598,0","62.980,0","60.189,5","3,92K","2,70%"
28.10.2021,"60.598,0","58.453,0","62.395,0","57.612,0","8,07K","3,67%"
27.10.2021,"58.453,0","60.289,0","61.447,7","58.096,4","7,14K","-3,05%"
26.10.2021,"60.290,0","63.100,0","63.306,0","59.852,0","4,75K","-4,45%"
25.10.2021,"63.100,0","60.847,0","63.666,0","60.633,0","3,71K","3,70%"
24.10.2021,"60.847,0","61.302,0","61.471,0","59.537,0","2,88K","-0,74%"
23.10.2021,"61.302,0","60.708,0","61.731,0","59.762,0","2,71K","0,98%"
22.10.2021,"60.708,0","62.200,0","63.708,0","60.045,0","6,35K","-2,40%"
21.10.2021,"62.200,0","65.988,0","66.643,0","62.100,0","13,37K","-5,74%"
20.10.2021,"65.988,0","64.263,0","66.927,0","63.536,0","9,26K","2,73%"
19.10.2021,"64.237,0","62.034,0","64.418,0","61.441,1","9,15K","3,55%"
18.10.2021,"62.034,0","61.504,0","62.661,0","59.948,0","8,56K","0,85%"
17.10.2021,"61.511,0","60.867,5","61.652,0","59.073,0","5,14K","1,06%"
16.10.2021,"60.867,5","61.680,0","62.325,0","60.175,0","4,28K","-1,36%"
15.10.2021,"61.709,0","57.354,0","62.897,0","56.889,0","11,88K","7,59%"
14.10.2021,"57.354,0","57.381,0","58.473,0","56.880,0","4,59K","-0,05%"
13.10.2021,"57.381,0","55.967,0","57.758,0","54.310,0","3,09K","2,53%"
12.10.2021,"55.967,0","57.468,0","57.633,0","54.000,0","5,94K","-2,61%"
11.10.2021,"57.468,0","54.701,0","57.802,5","54.430,0","7,51K","5,06%"
10.10.2021,"54.701,0","54.978,0","56.414,0","54.173,0","5,84K","-0,50%"
09.10.2021,"54.978,0","53.925,0","55.443,7","53.711,0","2,44K","1,95%"
08.10.2021,"53.925,0","53.793,0","56.000,0","53.649,0","5,48K","0,25%"
07.10.2021,"53.793,0","55.331,0","55.339,0","53.444,0","4,95K","-2,78%"
06.10.2021,"55.331,0","51.508,0","55.724,0","50.448,0","10,52K","7,42%"
05.10.2021,"51.508,0","49.232,0","51.891,1","49.065,0","6,68K","4,58%"
04.10.2021,"49.252,0","48.243,0","49.503,0","46.951,0","6,19K","2,09%"
03.10.2021,"48.243,0","47.675,0","49.187,0","47.124,0","3,60K","1,19%"
02.10.2021,"47.675,0","48.151,0","48.330,0","47.459,0","2,06K","-1,00%"
01.10.2021,"48.157,0","43.830,0","48.454,0","43.311,0","8,32K","9,87%"
30.09.2021,"43.830,0","41.551,0","44.107,0","41.432,0","5,11K","5,48%"
29.09.2021,"41.551,0","41.064,0","42.591,0","40.811,0","4,39K","1,19%"
28.09.2021,"41.064,0","42.191,0","42.777,0","40.928,0","6,16K","-2,67%"
27.09.2021,"42.191,0","43.220,5","44.354,0","42.144,0","4,26K","-2,29%"
26.09.2021,"43.180,0","42.711,0","43.931,0","40.830,0","5,47K","1,10%"
25.09.2021,"42.711,0","42.854,0","42.977,0","41.731,0","2,96K","-0,39%"
24.09.2021,"42.878,0","44.882,0","45.140,0","40.779,0","11,76K","-4,47%"
23.09.2021,"44.882,0","43.582,6","44.986,0","43.121,0","5,29K","2,98%"
22.09.2021,"43.582,6","40.632,5","43.998,0","40.607,0","8,43K","7,18%"
21.09.2021,"40.664,0","43.002,0","43.622,3","39.678,0","14,96K","-5,44%"
20.09.2021,"43.002,0","47.239,0","47.323,0","42.577,0","12,63K","-8,97%"
19.09.2021,"47.239,0","48.309,0","48.370,0","46.837,0","2,28K","-2,21%"
18.09.2021,"48.309,0","47.296,0","48.794,0","47.070,0","2,05K","2,15%"
17.09.2021,"47.292,0","47.786,0","48.183,0","46.782,0","2,49K","-1,03%"
16.09.2021,"47.786,0","48.136,0","48.518,0","47.080,0","3,61K","-0,73%"
15.09.2021,"48.136,0","47.078,0","48.440,0","46.738,0","3,98K","2,25%"
14.09.2021,"47.078,0","44.960,0","47.235,0","44.726,0","3,52K","4,71%"
13.09.2021,"44.960,0","46.069,0","46.823,0","43.514,0","8,77K","-2,41%"
12.09.2021,"46.069,0","45.169,0","46.391,0","44.780,1","3,39K","1,99%"
11.09.2021,"45.169,0","44.852,0","45.990,0","44.750,0","2,54K","0,71%"
10.09.2021,"44.852,0","46.389,0","47.036,0","44.265,1","5,18K","-3,31%"
09.09.2021,"46.389,0","46.088,0","47.397,0","45.591,0","3,85K","0,65%"
08.09.2021,"46.088,0","46.778,0","47.342,4","44.509,9","7,55K","-1,48%"
07.09.2021,"46.778,0","52.676,0","52.888,0","43.347,0","16,70K","-11,20%"
06.09.2021,"52.676,0","51.762,0","52.709,0","51.062,0","4,84K","1,77%"
05.09.2021,"51.762,0","49.899,0","51.900,0","49.500,0","5,54K","3,73%"
04.09.2021,"49.899,0","50.000,0","50.529,0","49.418,0","2,37K","-0,20%"
03.09.2021,"50.000,0","49.291,0","51.032,0","48.362,0","7,33K","1,44%"
02.09.2021,"49.291,0","48.844,0","50.365,0","48.633,0","4,95K","0,92%"
01.09.2021,"48.844,0","47.157,0","49.102,0","46.600,0","5,71K","3,58%"
31.08.2021,"47.157,0","47.008,0","48.241,0","46.725,0","4,30K","0,32%"
30.08.2021,"47.008,0","48.800,0","48.915,7","46.904,0","4,12K","-3,67%"
29.08.2021,"48.800,0","48.914,0","49.650,0","47.844,0","4,05K","-0,23%"
28.08.2021,"48.914,0","49.076,1","49.310,0","48.400,0","2,30K","-0,33%"
27.08.2021,"49.076,1","46.832,0","49.159,0","46.364,9","5,80K","4,79%"
26.08.2021,"46.832,0","48.989,0","49.385,0","46.370,7","6,48K","-4,40%"
25.08.2021,"48.989,0","47.714,0","49.244,0","47.158,0","4,12K","2,67%"
24.08.2021,"47.714,0","49.539,0","49.857,0","47.604,0","4,77K","-3,68%"
23.08.2021,"49.539,0","49.264,0","50.506,3","49.055,0","5,42K","0,56%"
22.08.2021,"49.264,0","48.868,0","49.487,0","48.121,0","2,75K","0,81%"
21.08.2021,"48.868,0","49.332,0","49.784,0","48.290,0","3,92K","-0,94%"
20.08.2021,"49.332,0","46.765,0","49.362,0","46.660,0","6,04K","5,49%"
19.08.2021,"46.765,0","44.744,0","47.060,0","43.992,0","5,97K","4,52%"
18.08.2021,"44.744,0","44.698,0","46.007,8","44.290,0","5,82K","0,10%"
17.08.2021,"44.698,0","45.940,0","47.157,0","44.467,0","6,93K","-2,70%"
16.08.2021,"45.940,0","47.031,0","48.059,0","45.689,0","6,06K","-2,32%"
15.08.2021,"47.031,0","47.084,0","47.355,0","45.556,0","3,83K","-0,11%"
14.08.2021,"47.084,0","47.842,0","48.120,0","46.036,0","4,35K","-1,58%"
13.08.2021,"47.842,0","44.423,0","47.866,0","44.276,0","7,39K","7,70%"
12.08.2021,"44.423,0","45.546,0","46.185,0","43.789,0","5,64K","-2,47%"
11.08.2021,"45.546,0","45.612,0","46.725,0","45.358,0","4,32K","-0,14%"
10.08.2021,"45.612,0","46.291,0","46.674,0","44.644,0","6,37K","-1,47%"
09.08.2021,"46.293,0","43.770,0","46.432,2","42.792,0","10,72K","5,76%"
08.08.2021,"43.770,0","44.589,0","45.249,0","43.300,0","8,16K","-1,84%"
07.08.2021,"44.589,0","42.830,0","44.689,2","42.464,0","9,32K","4,11%"
06.08.2021,"42.830,0","40.887,0","43.294,0","39.933,0","6,46K","4,75%"
05.08.2021,"40.887,0","39.741,0","41.352,0","37.361,0","6,43K","2,85%"
04.08.2021,"39.754,0","38.219,0","39.965,0","37.564,0","3,67K","4,05%"
03.08.2021,"38.207,0","39.156,0","39.774,0","37.700,0","5,08K","-2,42%"
02.08.2021,"39.156,0","39.922,0","40.441,0","38.716,0","4,62K","-1,92%"
01.08.2021,"39.922,0","41.409,0","42.532,0","39.596,0","9,11K","-3,59%"
31.07.2021,"41.409,0","42.169,0","42.317,0","41.051,0","5,07K","-1,80%"
30.07.2021,"42.169,0","40.034,4","42.244,0","38.373,0","7,77K","5,31%"
29.07.2021,"40.041,0","40.004,0","40.623,0","39.282,0","4,07K","0,09%"
28.07.2021,"40.004,0","39.563,0","40.899,0","38.822,0","7,98K","1,11%"
27.07.2021,"39.563,0","37.296,0","39.563,0","36.436,0","6,04K","6,08%"
26.07.2021,"37.296,0","35.422,0","40.515,6","35.276,0","16,31K","5,34%"
25.07.2021,"35.407,0","34.620,0","35.430,0","33.906,0","2,78K","4,62%"
24.07.2021,"33.845,0","33.597,1","34.043,0","33.422,0","3,34K","0,74%"
23.07.2021,"33.597,1","32.320,0","33.625,3","32.020,0","3,97K","3,95%"
22.07.2021,"32.320,0","32.141,0","32.609,7","31.747,0","5,23K","0,56%"
21.07.2021,"32.141,0","29.806,1","32.804,0","29.545,0","8,25K","7,83%"
20.07.2021,"29.806,1","30.847,0","31.075,0","29.341,0","8,88K","-3,37%"
19.07.2021,"30.847,0","31.824,0","31.924,0","30.514,0","12,80K","-3,07%"
18.07.2021,"31.824,0","31.559,0","32.427,0","31.211,8","12,41K","0,84%"
17.07.2021,"31.559,0","31.427,0","31.975,0","31.224,0","13,71K","0,41%"
16.07.2021,"31.429,0","31.875,0","32.266,0","31.055,0","5,38K","-1,34%"
15.07.2021,"31.857,0","32.822,6","33.194,0","31.170,0","6,96K","-2,94%"
14.07.2021,"32.822,6","32.727,0","33.117,0","31.596,0","5,19K","0,29%"
13.07.2021,"32.727,0","33.090,0","33.333,0","32.210,0","4,02K","-1,10%"
12.07.2021,"33.090,0","34.239,0","34.624,0","32.616,0","8,41K","-3,36%"
11.07.2021,"34.239,0","33.506,0","34.584,0","33.317,0","2,15K","2,19%"
10.07.2021,"33.506,0","33.769,0","34.221,0","33.024,0","6,46K","-0,78%"
09.07.2021,"33.769,0","32.873,9","34.044,0","32.574,0","6,66K","2,72%"
08.07.2021,"32.873,9","33.886,0","33.939,0","32.063,0","14,29K","-2,99%"
